127.0.0.1, 2018-06-04 12:36:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:36:54, GET, /rip/fullClone/vmOperation, HTTP/1.1, 404, 0.030000
127.0.0.1, 2018-06-04 12:36:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:37:30, GET, /rip/Home/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-06-04 12:37:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:37:56, GET, /rip/linkedClone/vmOperation, HTTP/1.1, 404, 0.032000
127.0.0.1, 2018-06-04 12:37:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:38:16, GET, /rip/Home/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-04 12:38:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:38:19, GET, /rip/fullClone/vmOperation, HTTP/1.1, 404, 0.024000
127.0.0.1, 2018-06-04 12:38:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:38:32, GET, /rip/Home/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-06-04 12:38:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:39:20, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-06-04 12:39:20, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-06-04 12:39:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:41:17, GET, /rip/hostApi/hostOperation, HTTP/1.1, 404, 0.030000
127.0.0.1, 2018-06-04 12:41:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:41:20, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-06-04 12:41:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:41:24, GET, /rip/dcOperation/dcApi, HTTP/1.1, 404, 0.022000
127.0.0.1, 2018-06-04 12:41:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:41:29, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-06-04 12:41:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:41:32, GET, /rip/clusterOperation/clusterApi, HTTP/1.1, 404, 0.039000
127.0.0.1, 2018-06-04 12:41:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:41:43, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-06-04 12:41:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:41:51, GET, /rip/hostApi/hostOperation, HTTP/1.1, 404, 0.027000
127.0.0.1, 2018-06-04 12:41:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:41:54, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-06-04 12:41:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:42:23, GET, /rip/networkApi/networkOperation, HTTP/1.1, 404, 0.039000
127.0.0.1, 2018-06-04 12:42:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:42:25, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.059000
